prompt_id,model,dataset,weight,score,cost
AIME_1,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_10,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_11,granite-3.3-8b-instruct,AIME,0.004166666666666667,1.0,0.0
AIME_12,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_13,internlm3-8b-instruct,AIME,0.004166666666666667,1.0,0.0
AIME_14,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_15,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_16,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_17,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_18,internlm3-8b-instruct,AIME,0.004166666666666667,0.0,0.0
AIME_19,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_2,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_20,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_21,gpt-5-chat,AIME,0.004166666666666667,1.0,0.0015135625
AIME_22,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_23,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_24,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_25,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_26,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_27,DeepSeek-R1-0528-Qwen3-8B,AIME,0.004166666666666667,1.0,0.00198636
AIME_28,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_29,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_3,internlm3-8b-instruct,AIME,0.004166666666666667,1.0,0.0
AIME_30,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_31,granite-3.3-8b-instruct,AIME,0.004166666666666667,1.0,0.0
AIME_32,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_33,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_34,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_35,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_36,internlm3-8b-instruct,AIME,0.004166666666666667,1.0,0.0
AIME_37,GLM-Z1-9B-0414,AIME,0.004166666666666667,1.0,0.0
AIME_38,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_39,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_4,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_40,Qwen3-8B,AIME,0.004166666666666667,1.0,0.003846904
AIME_41,gpt-5-chat,AIME,0.004166666666666667,1.0,0.0015476875
AIME_42,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_43,internlm3-8b-instruct,AIME,0.004166666666666667,0.0,0.0
AIME_44,qwen3-235b-a22b-thinking-2507,AIME,0.004166666666666667,0.0,0.0
AIME_45,qwen3-235b-a22b-thinking-2507,AIME,0.004166666666666667,0.0,0.0
AIME_46,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_47,granite-3.3-8b-instruct,AIME,0.004166666666666667,1.0,0.0
AIME_48,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_49,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_5,NVIDIA-Nemotron-Nano-9B-v2,AIME,0.004166666666666667,1.0,0.00245032
AIME_50,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_51,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_52,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_53,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_54,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_55,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_56,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_57,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_58,Intern-S1-mini,AIME,0.004166666666666667,1.0,0.003714433
AIME_59,OpenThinker3-7B,AIME,0.004166666666666667,1.0,0.0
AIME_6,qwen3-235b-a22b-thinking-2507,AIME,0.004166666666666667,0.0,0.0
AIME_60,internlm3-8b-instruct,AIME,0.004166666666666667,0.0,0.0
AIME_7,qwen3-235b-a22b-2507,AIME,0.004166666666666667,1.0,0.00970465
AIME_8,MiniCPM4.1-8B,AIME,0.004166666666666667,1.0,0.0
AIME_9,internlm3-8b-instruct,AIME,0.004166666666666667,1.0,0.0
GPQA_10,cogito-v1-preview-llama-8B,GPQA,0.004166666666666667,1.0,0.0
GPQA_100,MiniCPM4.1-8B,GPQA,0.004166666666666667,1.0,0.0
